anka	ಅಂಕ\nಭಾಗ\n ದ್ರೋಣ ಪರ್ವ,5,40
anke	ಅಂಕೆ\nಸ್ವಾಧೀನ\n ಆದಿ ಪರ್ವ,7,74
anka	ಅಂಕ\nಪಕ್ಷ\n ಆದಿ ಪರ್ವ,7,34
anka	ಅಂಕ\nಯುದ್ಧ\n ಗದಾ ಪರ್ವ,6,12
anka	ಅಂಕ\nತೊಡೆ\n ಉದ್ಯೋಗ ಪರ್ವ,5,5
ankake	ಅಂಕಕೆ\nಹೋರಾಟಕ್ಕೆ\n ಸಭಾ ಪರ್ವ,2,91
ankaNe	ಅಂಕಣೆ\nಕುದುರೆಯ ಮೇಲಕ್ಕೆ ಹತ್ತಲು ಕಾಲಿಡಲು ಅನುಕೂಲವಾಗುವಂತೆ ಜೀನಿಗೆ ಅಳವಡಿಸಿದ ಬಳೆ\n ಗದಾ ಪರ್ವ,2,13
ankarisalu	ಅಂಕರಿಸಲು\nಕಾಣು\n ಸಭಾ ಪರ್ವ,1,80
ankisu	ಅಂಕಿಸು\nಗುರುತಿಸು\n ಉದ್ಯೋಗ ಪರ್ವ,4,21
ankura	ಅಂಕುರ\nಮೊಳಕೆ/ಬೆಳೆ\n ಉದ್ಯೋಗ ಪರ್ವ,4,107
ankurisu	ಅಂಕುರಿಸು\nಮೊಳಕೆಗೊಳ್ಳು\n ವಿರಾಟ ಪರ್ವ,7,20
ankurisu	ಅಂಕುರಿಸು\nಮೊಳೆ\n ಆದಿ ಪರ್ವ,18,20
ankuza	ಅಂಕುಶ\nಆನೆಯನ್ನು ನಿಯಂತ್ರಿಸಲು ಉಪಯೋಗಿಸುವ ಕಬ್ಬಿಣದ ತುಂಡು\n ಗದಾ ಪರ್ವ,2,38
ankuza	ಅಂಕುಶ\nಆನೆಯನ್ನು ತಹಬಂದಿಗೆ ತರಲು ಬಳಸುವ ಚೂಪಾದ ಕೋಲು\n ವಿರಾಟ ಪರ್ವ,10,34
ankuzavaaLe	ಅಂಕುಶವಾಳೆ\nಅಂಕುಶದ ಕತ್ತಿ\n ಕರ್ಣ ಪರ್ವ,2,17
anga	ಅಂಗ\nಅವಯವ\n ಆದಿ ಪರ್ವ,20,50
angachitta	ಅಂಗಚಿತ್ತ\nಅಂಗವಸ್ತ್ರ\n ಗದಾ ಪರ್ವ,4,53
angachChavi	ಅಂಗಚ್ಛವಿ\nದೇಹಕಾಂತಿ\n ಅರಣ್ಯ ಪರ್ವ,6,73
angada	ಅಂಗದ\nತೋಳ್ಬಳೆ ಝಳವಟಿಗೆ\n ಸಭಾ ಪರ್ವ,5,43
angada siri	ಅಂಗದ ಸಿರಿ\nಶಾರೀರಕ ವೈಭವದ ಸಿರಿ\n ಭೀಷ್ಮ ಪರ್ವ,3,62
angavaTTa	ಅಂಗವಟ್ಟ\nಸೌಷ್ಠವ\n ಆದಿ ಪರ್ವ,13,50
angavaTTa	ಅಂಗವಟ್ಟ\nಶರೀರ.\n ಕರ್ಣ ಪರ್ವ,6,16
angavaTTa	ಅಂಗವಟ್ಟ\nಮೈಯ ಸೌಂದರ್ಯ\n ಉದ್ಯೋಗ ಪರ್ವ,9,68
angavaTTa	ಅಂಗವಟ್ಟ\nಹೊದೆಯುವ ವಸ್ತ್ರ\n ಅರಣ್ಯ ಪರ್ವ,11,20
angavaTTa	ಅಂಗವಟ್ಟ\nದೇಹಸೌಂದರ್ಯ\n ವಿರಾಟ ಪರ್ವ,2,6
angavaNe	ಅಂಗವಣೆ\nಉದ್ದೇಶ\n ಅರಣ್ಯ ಪರ್ವ,5,25
angavaNe	ಅಂಗವಣೆ\nಧೈರ್ಯ\n ವಿರಾಟ ಪರ್ವ,5,29
angavalla	ಅಂಗವಲ್ಲ\nನನ್ನ ವಿಭಾಗಕ್ಕೆ ಸೇರುವುದಿಲ್ಲ\n ದ್ರೋಣ ಪರ್ವ,1,31
angavisi	ಅಂಗವಿಸಿ\nಸಾಹಸಮಾಡಿ\n ಭೀಷ್ಮ ಪರ್ವ,9,20
