"ಆ ವಿಚಿತ್ರಕೆ ನಮಿಸೊ – ಮಂಕುತಿಮ್ಮ","ಶ್ರೀ ವಿಷ್ಣು ವಿಶ್ವಾದಿ ಮೂಲ ಮಾಯಾಲೋಲ ।<br>ದೇವ ಸರ್ವೇಶ ಪರಬೊಮ್ಮನೆಂದು ಜನಂ ॥<br>ಆವುದನು ಕಾಣದೊಡಮಳ್ತಿಯಿಂ ನಂಬಿಹುದೊ ।<br>ಆ ವಿಚಿತ್ರಕೆ ನಮಿಸೊ – ಮಂಕುತಿಮ್ಮ ॥ ೧ ॥<br><br>Sri Vishnu vishvAdi mUla mAyAlola ।<br>deva sarvesha parabommanendu janam ॥<br>Avudanu kanadoDamaLtiyim nambihudo ।<br>A vichitrake namiso – mankutimma ॥ 1 ॥","(ಕಾಣದೊಡಂ + ಅಳ್ತಿಯಿಂ)(ಪರಬೊಮ೦+ಎ೦ದು ) ಶ್ರೀ ವಿಷ್ಣು ಪ್ರಪಂಚಕ್ಕೆ  ಮೊದಲುಮತ್ತು ಮೂಲನಾಗಿರುವವನು ಮಾಯಾಲೋಲನಾಗಿರುವವನು  ದೇವರು ಸರ್ವರಿಗೊ ಈಶನಾಗಿರುವವನು ಮತ್ತು ಪರಬ್ರಹ್ಮ (ಪರಬೊಮ್ಮ) ನೆಂದು ವಿಧ ವಿಧವಾದ ನಾಮಾವಳಿಗಳಿ೦ದ ಜನಗಳು ಯಾವುದನ್ನು ಕಾಣದಿದ್ದರೂ ಪ್ರೀತಿಯಿಂದ (ಅಳ್ತಿಯಿಂ) ನಂಬಿರುವರೋ ಆ ವಿಚಿತ್ರಕ್ಕೆನಮಿಸು. ","Oh Mankutimma, salute to that strangeness that people believe heavily in even without seeing. They all describe it differently – Sri Vishnu, beginning of everything including this world, Weaver of this web of magic, omnipotent God and the creator."
"ಆ ವಿಶೇಷಕೆ ನಮಿಸೊ – ಮಂಕುತಿಮ್ಮ","ಜೀವ ಜಡರೂಪ ಪ್ರಪಂಚವನದಾವುದೋ।<br>ಆವರಿಸಿಕೊಂಡುಮೊಳನೆರೆದುಮಿಹುದಂತೆ॥<br>ಭಾವಕೊಳಪಡದಂತೆ ಅಳತೆಗಳವಡದಂತೆ।<br>ಆ ವಿಶೇಷಕೆ ನಮಿಸೊ – ಮಂಕುತಿಮ್ಮ ॥ ೨ ॥<br><br>jIva jaDarUpa prapanchavanadAvudo ।<br>AvarisikonDum oLaneredum ihudante ॥<br>bhAvakoLapanDante aLategaLavaDadante ।<br>A visheShake namiso – Mankutimma ॥ 2 ॥","(ಪ್ರಪಂಚದ +ಅದು +ಆವುದೋ )(ಆವರಿಸಿಕೊಂಡು೦+ಒಳನೆರೆದು೦+ಇಹುದ೦ತೆ) (ಭಾವಕ್ಕೆ + ಒಳಪಡದಂತೆ) ( ಅಳತೆಗೆ+ಅಳವಡದಂತೆ) ಈ ಜೀವ ತುಂಬಿದ ಚೇತನವಲ್ಲದ (ಜಡ) ಪ್ರಪಂಚವನ್ನು  ಯಾವುದೋ ಒಂದು ಶಕ್ತಿ  ಆವರಿಸಿಕೊಂಡು ಒಳಗೆತುಂಬಿಕೊಂಡು (ಒಳನೆರೆ) ಇರುವಂತೆ ಭಾವಕ್ಕೆ  ಒಳಪಡದಂತೆ ಅಳತೆಗೆ ವಶವಾಗದಂತೆ (ಅಳವಡದಂತೆ) ಇರುವುದೋ ಆ ವಿಶೇಷಕ್ಕೆ ನಮಸ್ಕರಿಸು (ಮಣಿ). ","Oh Mankutimma, salute that unique thing that has at the same time both surrounded and penetrated every object – living or otherwise. Neither does it yield to emotions nor can it be measured."
"ಗಹನ ತತ್ತ್ವಕೆ ಶರಣೊ – ಮಂಕುತಿಮ್ಮ","ಇಹುದೊ ಇಲ್ಲವೊ ತಿಳಿಯಗೊಡದೊಂದು ವಸ್ತು ನಿಜ।<br>ಮಹಿಮೆಯಿಂ ಜಗವಾಗಿ ಜೀವವೇಷದಲಿ ॥<br>ವಿಹರಿಪುದದೊಳ್ಳಿತೆಂಬುದು ನಿಸದವಾದೊಡಾ ।<br>ಗಹನ ತತ್ತ್ವಕೆ ಶರಣೊ – ಮಂಕುತಿಮ್ಮ ॥ ೩ ॥<br><br>ihudo illavo tiLiyagoDadondu vastu nija ।<br>mahimeyim jagavAgi jIvavEShadali ॥<br>viharipudadu oLLiteMbudu nisadavAdoDA ।<br>gahana tattvake sharaNo – Mankutimma ॥ 3 ॥","(ತಿಳಿಯಗೊಡದ +ಒ೦ದು )(ವಿಹರಿಪುದು+ಅದು+ಒಳ್ಳಿತು + ಎ೦ಬುದು )(ನಿಸದವಾದೊಡೆ + ಆ)  ಇದೆಯೋ ಇಲವೋ ನಮಗೆ ತಿಳಿಯಗೊಡದಒಂದು ವಸ್ತು  ನಿಜ ಮಹಿಮೆಯಿಂದ ಜಗತ್ತಾಗಿ ಜೀವಿಗಳ ವೇಷದಲ್ಲಿ ವಿಹರಿಸುತ್ತಿದೆ (ವಿಹರಿಪುದು)ಅದು ಒಳ್ಳೆಯದು (ಅದು+ಒಳ್ಳಿತು) ಎನ್ನುವುದು  ನಿಶ್ಚಯ ಮತ್ತು ಸತ್ಯವಾದರೆ  (ನಿಸದ) ಆಲಹಸ್ಯವಾದ ತತ್ತ್ವಕ್ಕೆ ಶರಣಾಗು. ","Oh Mankutimma, It is very difficult to conclude whether it exists or not. An entity which is manifesting its glory by flowing in this world as life. If it is really true, then seek refuge in that deep thought."
"ಜ್ಞಾನಪ್ರಮಾಣವೇಂ? – ಮಂಕುತಿಮ್ಮ","ಏನು ಜೀವನದರ್ಥ? ಏನು ಪ್ರಪಂಚಾರ್ಥ? ।<br>ಏನು ಜೀವಪ್ರಪಂಚಗಳ ಸಂಬಂಧ? ॥<br>ಕಾಣದಿಲ್ಲಿ‍ರ್ಪುದೇನಾನುಮುಂಟೆ? ಅದೇನು? ।<br>ಜ್ಞಾನಪ್ರಮಾಣವೇಂ? – ಮಂಕುತಿಮ್ಮ ॥ ೪ ॥<br><br>Enu jIvanadartha? Enu prapanchArtha? ।<br>Enu jIva prapanchagaLa sambandha? ॥<br>kANadilli irpudu enAnum unte? adEnu? ।<br>jnAna pramANavEm? – Mankutimma ॥ 4 ॥","(ಕಾಣದೆ +ಇಲ್ಲಿ +ಇರುವುದು +ಎನಾನು೦ +ಉ೦ಟೆ)  ಈ ನಮ್ಮ  ಜೀವನಕ್ಕೆ ಏನಾದರೂ ಅರ್ಥವಿದೆಯೇ? ಈ ಪ್ರಪಂಚಕ್ಕೆ ಏನಾದರೂ ಅರ್ಥವಿದೆಯೇ? ಈ ಜೀವಿಗಳ ಮತ್ತು ಪ್ರಪಂಚಗಳ ಸಂಬಂಧವೇನು ? ನಮಗೆ ಗೋಚರವಾಗದೆ ಇರುವುದು ಇಲ್ಲಿ ಏನಾದರೂ ಇದೆಯೇ?  ಹಾಗಿದ್ದರೆ ಏನದು? ಅದು ನಮ್ಮ ಜ್ಞಾನಶಕ್ತಿಗೆ ಮೀರಿದುದೋ ಏನು . ","Oh Mankutimma! What is life? What is this world? What is the relation between the two? Is there anything here that we do not see? What is it? Can cognisance (knowledge) of something is the only proof for its existence?"
"ಸಾವು ಹುಟ್ಟುಗಳೇನು? – ಮಂಕುತಿಮ್ಮ","ದೇವರೆಂಬುದದೇನು ಕಗ್ಗತ್ತಲೆಯ ಗವಿಯೆ? ।<br>ನಾವರಿಯಲಾರದೆಲ್ಲದರೊಟ್ಟು ಹೆಸರೆ? ॥<br>ಕಾವನೊರ್ವನಿರಲ್ಕೆ ಜಗದ ಕಥಯೇಕಿಂತು? ।<br>ಸಾವು ಹುಟ್ಟುಗಳೇನು? – ಮಂಕುತಿಮ್ಮ ॥ ೫ ॥<br><br>dEvarembudadEnu kaggattaleya gaviye? ।<br>nAvu ariyalArada elladara oTTu hesare? ॥<br>kAvanu orvanu iralke jagada kathe Eke intu? ।<br>sAvu huTTugaLEnu? – Mankutimma ॥ 5 ॥","(ದೇವರು + ಎ೦ಬುದು +ಅದು +ಏನು )(ನಾವು +ಅರಿಯಲಾರದ +ಎಲ್ಲದರ + ಒಟ್ಟು )(ಕಾವಂ  +ಒರ್ವನ್ +ಇರಲ್ಕೆ ) (ಜಗದ +ಕಥೆ +ಏಕೆ +ಇಂತು )  ದೇವರು ಎನ್ನುವುದು ಏನು ಅದು ಒಂದು ಕಗ್ಗೆತ್ತಲೆಯಿಂದ  ಕೂಡಿದ ಗುಹೆಯೋ ಅಥವಾ ನಮಗೆ ತಿಳಿಯದೆ ಇರುವೆ ಎಲ್ಲವನ್ನು  ಕಾಪಾಡುವನೊಬ್ಬ ಇದ್ದರೂ  ಈ ಜಗತ್ತಿನ ಕಥೆ ಹೀಗೇಕಿದೆ ಈ ಹುಟ್ಟು ಮತ್ತು ಸಾವುಗಳ ಅರ್ಥವೇನು ಈ ರೀತಿಯ ಪ್ರಶ್ನೆಗಳು ಪ್ರತಿಯೊಬ್ಬ  ಮನುಷ್ಯನನ್ನೂ ಒಂದಲ್ಲ ಒ೦ದು ಸಲ ಕಾಡಿರುವುವಂತಹವೇ.","Oh Mankutimma! Is God confined to the dark caves (of sanctum sactorum)? Is it the representation of all that we can not understand? If there is one God looking over the entire world, then why is the world’s story like this? What is the secret of birth and death?"
"ಏಕಿಂತು ಬಗೆಬಗೆಯ ಜೀವಗತಿ? – ಮಂಕುತಿಮ್ಮ","ಒಗಟೆಯೇನೀ ಸೃಷ್ಟಿ? ಬಾಳಿನರ್ಥವದೇನು? ।<br>ಬಗೆದು ಬಿಡಿಸುವರಾರು ಸೊಜಿಗವನಿದನು? ॥<br>ಜಗವ ನಿರವಿಸಿದ ಕೈಯೊದಾದೊಡೇಕಿಂತು ।<br>ಬಗೆಬಗೆಯ ಜೀವಗತಿ? – ಮಂಕುತಿಮ್ಮ ॥ ೬ ॥<br><br>ogaTe Enu E sRuShTi? bALinarthavadEnu? ।<br>bagedu biDisuvarAru sojigavanu idanu? ॥<br>jagava niravisida kai odAdoDe Ekintu ।<br>bagebageya jIvagati? – Mankutimma ॥ 6 ॥","(ಒಗಟೆ +ಏನು +ಈ)(ಬಾಳಿನ +ಅರ್ಥವದು +ಏನು ) (ಬಿಡಿಸುವರು +ಆರು ) (ಸೊಜಿಗವನು+ಇದನು)(ಕೈ +ಒ೦ದು +ಆದೊಡೆ +ಏಕೆ +ಇಂತು )  ಈ ಸೃಷ್ಟಿ ಎನ್ನುವುದು ಕಗ್ಗಂಟೋ ಏನು ಈ ಬಾಳಿನ ಏನಾದರೂಅರ್ಥವಿದೆಯೇ ಈ ಆಶ್ಚರ್ಯಕರವಾದ ಕಗ್ಗಂಟನ್ನು ಯೋಚಿಸಿ ಯಾರು ಬಿಡಿಸಬಲ್ಲರು  ಈ ಜಗೆತ್ತನ್ನು ಒಂದು  ಕಾಣದ ಕೈ ನಿರ್ಮಿಸಿದೆ  (ನಿರವಿಸಿದ ) ಎಂದರೆ ಈ ವಿಧ ವಿಧವಾದ ಜೀವಗತಿಗಳು ಏಕೆ ? ","Oh Mankutimma! Is this world a mere riddle? What is the reason for living? Who will decipher this wonder? If a single hand created this world, then why is there so much diversity in life?"
"ಅದಿಗುದಿಯೆ ಗತಿಯೇನೋ? – ಮಂಕುತಿಮ್ಮ","ಬದುಕಿಗಾರ್ ನಾಯಕರು, ಏಕನೊ ಅನೇಕರೋ? ।<br>ವಿಧಿಯೊ ಪೌರುಷವೊ ಧರುಮವೊ ಅಂಧಬಲವೋ? ॥<br>ಕುದುರುವುದೆಂತು ಈಯವ್ಯವಸ್ಥ್ರೆಯ ಪಾಡು? ।<br>ಅದಿಗುದಿಯೆ ಗತಿಯೇನೋ? – ಮಂಕುತಿಮ್ಮ ॥ ೭ ॥<br><br>badukigAr nAyakaru, EkanO anEkarO? ।<br>vidhiyo pauroshavo dharumavo andhabalavO? ॥<br>kuduruvudentu Iyavyavasteya pADu? ।<br>adigudiye gatiyEnO? – Mankutimma ॥ 7 ॥","(ಬದುಕಿಗೆ+ ಆರ್ ) (ಕುದುರುವುದು+ಅದು+ಎಂತು) (ಈ+ಅವ್ಯವಸ್ಥೆಯ)  ಈ ಬದುಕಿಗೆ ನಾಯಕರು ಯಾರು ಒಬ್ಬನೇ ಒಬ್ಬನೋ ಅಥವಾ ಬಹುಮಂದಿ  ಇದ್ದಾರೆಯೋ  ವಿಧಿಯೋ ಪುರುಷ ಪ್ರಯತ್ನವೋ ಧರ್ಮದ ಶಕ್ತಿಯೋ  ಅಥವಾ ಒ೦ದು ಅಂಧ  ಬಲವೋ  ಈ ಅವ್ಯವಸ್ಥೆಯ ಪಾಡು ಸರಿಯಾಗುವುದು (ಕುದುರುವುದು )ಹೇಗೆ ಇಲ್ಲ ಈ ತಳಮಳದಲ್ಲಿಯೇ  (ಅದಿಗುದಿ) ನಾವು ಯಾವಾಗಲೂ ಇರಬೇಕೆ?","Oh Mankutimma! Who is pulling the strings of life? One? or Many? Is it fate, valour, morality or just faith that drives us all? When will this chaos actually work? Is this chaos the final reality?"
"ಶ್ರಮಪಡುವುವೇಕಿಂತು? – ಮಂಕುತಿಮ್ಮ","ಕ್ರಮವೊಂದು ಲಕ್ಷ್ಯವೊಂದುಂಟೇನು ಸೃಷ್ಟಿಯಲಿ? ।<br>ಭ್ರಮಿಪುದೇನಾಗಾಗ ಕರ್ತೃವಿನ ಮನಸು? ॥<br>ಮಮತೆಯುಳ್ಳವನಾತನಾದೊಡೀ ಜೀವಗಳು ।<br>ಶ್ರಮಪಡುವುವೇಕಿಂತು? – ಮಂಕುತಿಮ್ಮ ॥ ೮ ॥<br><br>kramavondu lakshyavondu sRuShTiyali? ।<br>bhramipudenu AgAga kartRuvina manasu? ॥<br>mamate uLLavanu AtanAdoDe ee jIvagaLu ।<br>shramapaDuvuvu Ekintu? – Mankutimma ॥ 8 ॥","(ಲಕ್ಷ್ಯ +ಒ೦ದು +ಉ೦ಟೇನು)(ಭ್ರಮಿಪುದು +ಏನು +ಆಗಾಗ ) (ಮಮತೆ+ ಉಳ್ಳವನು+ಆತನು +ಆದೊಡೆ + ಈ ) (ಶ್ರಮಪಡುವುವು +ಏಕೆ +ಇಂತು )  ಈ ಭಗವಂತನ ಸೃಷ್ಟಿಯಲ್ಲಿ ಒ೦ದು ಕ್ರಮ ಮತ್ತು ಗುರಿ ಏನಾದರೂ  ಉ೦ಟೆ?  ಈ ಸೃಷ್ಟಿಕರ್ತನ  ಮನಸ್ಸು ಆಗಾಗ ತಪ್ಪಾಗಿ ಭಾವಿಸುತ್ತದೆಯೇನು? ಮಮತೆಯುಳ್ಳವನಾದರೆ ಈ ಜೀವಿಗಳು ಏತಕ್ಕಾಗಿ ಈ ರೀತಿ ಶ್ರಮ ಪಡುತ್ತಿವೆ  ?","Oh Mankutimma! Is there a rule or a goal for this world? Does the creator’s mind wander from time to time? If the creator is always benevolent, then why are all these beings struggling so much?"
"ಏನು ವಿಸ್ಮಯ ಸೃಷ್ಟಿ! – ಮಂಕುತಿಮ್ಮ","ಏನು ಭೈರವಲೀಲೆಯೀ ವಿಶ್ವವಿಭ್ರಮಣೆ ।<br>ಏನು ಭೂತಗ್ರಾಮನರ್ತನೊನ್ಮಾದ ॥<br>ಏನಗ್ನಿ ಗೋಳಗಳು! ಏನಂತರಾಳಗಳು! ।<br>ಏನು ವಿಸ್ಮಯ ಸೃಷ್ಟಿ! – ಮಂಕುತಿಮ್ಮ ॥ ೯ ॥<br><br>Enu bhairava lIle ee vishvavibhramaNe ।<br>Enu bhUta grAma nartana unmAda ॥<br>Enagni gOLagaLu! Enu antarALagaLu! ।<br>Enu vismaya sRuShTi! – Mankutimma ॥ 9 ॥","(ಭೂತಗ್ರಾಮ +ನತ೯ನ +ಉನ್ಮಾದ )(ಏನು +ಅಗ್ನಿ )(ಏನು+ಅ೦ತರಾಳಗಳು)  ಈ ವಿಶ್ಚದ ತಿರುಗಾಟ ಎನ್ನುವುದು ಒಂದು ಭೀಕರವಾದ ಆಟವೇ ಸರಿ ಪಂಚಮಹಾಭೂತಗಳ ಮತ್ತು ನಾನಾ ಪ್ರಾಣಿಚೈತನ್ಯಗಳ (ಭೂತಗ್ರಾಮ ) ಹುಚ್ಚಾಡಿಸುವ ಏನು ಬೆಂಕಿಯ ಗೋಳಗಳು  ಏನು ಅವುಗಳ ನಡುವಿನ ಅವಕಾಶಗಳು (ಅಂತರಾಳ) ಈ ಸೃಷ್ಟಿ ಎನ್ನುವುದುಎಷ್ಟು  ಆಶ್ಚರ್ಯ ನೋಡಲಿಕ್ಕೆ. ","Oh Mankutimma! This whole world is under a frightful illusion – just like the intoxication of village fair. Dances, trances, balls of fire, deep introspection by some. This creation is filled so much wonder!"
"ಮಾನವನ ಗುರಿಯೇನು? ಬೆಲೆಯೇನು? ಮುಗಿವೇನು?","ಏನು ಪ್ರಪಂಚವಿದು! ಏನು ಧಾಳಾಧಾಳಿ!।<br>ಏನದ್ಭುತಾಪಾರಶಕ್ತಿನಿರ್ಘಾತ! ॥<br>ಮಾನವನ ಗುರಿಯೇನು? ಬೆಲೆಯೇನು? ಮುಗಿವೇನು?।<br>ಏನರ್ಥವಿದಕೆಲ್ಲ?- ಮಂಕುತಿಮ್ಮ ॥ ೧೦ ॥ <br><br>Enu prapanchavidu! Enu dhALAdhALi!।<br>Enadbhuta apAra shaktinirghAta! ॥<br>mAnavana guriyEnu? beleyEnu? mugivEnu? ।<br>Enarthavu idakella? – Mankutimma ॥ 10 ॥","ಈ ಪ್ರಪಂಚ ಎನ್ನುವುದು ಏನು.  ಏನು ಮುತ್ತಿಗೆಗಳು ಎಷ್ಟು  ಅದ್ಭುತವಾದ ಅಪಾರವಾದ ಶಕ್ತಿ  ಇದರಲ್ಲಿ ಅಡಗಿದೆ ಎಷ್ಟು ಜೋರಾದ ಹೊಡೆತಗಳನ್ನು  (ನಿರ್ಘಾತ) ಇದು ಎಲ್ಲರಿಗೂ  ಕೊಡುತ್ತಿದೆ.  ಇಷ್ಟೆಲ್ಲಾ ಇದ್ದರೂ ಮನುಷ್ಯನ  ಗುರಿ ಏನು, ಅವನಿಗೆ ಏನು ಬೆಲೆ , ಇದರ ಅಂತ್ಯವೇನು  ಇವುಗಳೆಲ್ಲಾ ತಿಳಿಯುತ್ತಿಲ್ಲವಲ್ಲ  ಇವುಗಳಿಗೆಲ್ಲಾ  ಏನು ಅರ್ಥ, ಇವು ಬಹಳ ಅಸ್ಪಷ್ಟವಾಗಿದೆ.  ಮೊದಲಿನ ಮೂರು ಪದ್ಯಗಳಲ್ಲಿ ಆ ಭಗವಂತನಿಗೆ  ನಮಿಸಿ ಮಣಿಸಿ ಶರಣಾದರೆ ಮುಂದಿನ ಏಳು ಪದ್ಯಗಳಲ್ಲಿ ಈ ಪ್ರಪಂಚದ ಬಗ್ಗೆ ಆ ಸೃಷ್ಟಿಕರ್ತನ ಬಗ್ಗೆ ಒಂದು  ಬಗೆಯ ಅನುಮಾನಗಳನ್ನು  ನಾವು ಕಾಣುತ್ತೇವೆ  ಈ ಅನುಮಾನಗಳುಪ್ರತಿಯೊಬ್ಬ  ಮನುಷ್ಯನಲ್ಲಿ ಇರುವಂತಾದ್ದೇ ! ","Oh Mankutimma! What kind of a world is this? Why is this commotion? What wonder is this unabated force? What should be the goal of a man? What is his value? What will be his end? What is the meaning of all these?"
