Pada, Artha1, Parva, Sandhi_no, Padya1
ಅಂಕ, ಭಾಗ, ದ್ರೋಣ ಪರ್ವ,5,40
ಅಂಕೆ, ಸ್ವಾಧೀನ, ಆದಿ ಪರ್ವ,7,74
ಅಂಕ, ಪಕ್ಷ, ಆದಿ ಪರ್ವ,7,34
ಅಂಕ, ಯುದ್ಧ, ಗದಾ ಪರ್ವ,6,12
ಅಂಕ, ತೊಡೆ, ಉದ್ಯೋಗ ಪರ್ವ,5,5
ಅಂಕಕೆ, ಹೋರಾಟಕ್ಕೆ, ಸಭಾ ಪರ್ವ,2,91
ಅಂಕಣೆ, ಕುದುರೆಯ ಮೇಲಕ್ಕೆ ಹತ್ತಲು ಕಾಲಿಡಲು ಅನುಕೂಲವಾಗುವಂತೆ ಜೀನಿಗೆ ಅಳವಡಿಸಿದ ಬಳೆ, ಗದಾ ಪರ್ವ,2,13
ಅಂಕರಿಸಲು, ಕಾಣು, ಸಭಾ ಪರ್ವ,1,80
ಅಂಕಿಸು, ಗುರುತಿಸು, ಉದ್ಯೋಗ ಪರ್ವ,4,21
ಅಂಕುರ, ಮೊಳಕೆ/ಬೆಳೆ, ಉದ್ಯೋಗ ಪರ್ವ,4,107
ಅಂಕುರಿಸು, ಮೊಳಕೆಗೊಳ್ಳು, ವಿರಾಟ ಪರ್ವ,7,20
ಅಂಕುರಿಸು, ಮೊಳೆ, ಆದಿ ಪರ್ವ,18,20
ಅಂಕುಶ, ಆನೆಯನ್ನು ನಿಯಂತ್ರಿಸಲು ಉಪಯೋಗಿಸುವ ಕಬ್ಬಿಣದ ತುಂಡು, ಗದಾ ಪರ್ವ,2,38
ಅಂಕುಶ, ಆನೆಯನ್ನು ತಹಬಂದಿಗೆ ತರಲು ಬಳಸುವ ಚೂಪಾದ ಕೋಲು, ವಿರಾಟ ಪರ್ವ,10,34
ಅಂಕುಶವಾಳೆ, ಅಂಕುಶದ ಕತ್ತಿ, ಕರ್ಣ ಪರ್ವ,2,17
ಅಂಗ, ಅವಯವ, ಆದಿ ಪರ್ವ,20,50
ಅಂಗಚಿತ್ತ, ಅಂಗವಸ್ತ್ರ, ಗದಾ ಪರ್ವ,4,53
ಅಂಗಚ್ಛವಿ, ದೇಹಕಾಂತಿ, ಅರಣ್ಯ ಪರ್ವ,6,73
ಅಂಗದ, ತೋಳ್ಬಳೆ ಝಳವಟಿಗೆ, ಸಭಾ ಪರ್ವ,5,43
ಅಂಗದ ಸಿರಿ, ಶಾರೀರಕ ವೈಭವದ ಸಿರಿ, ಭೀಷ್ಮ ಪರ್ವ,3,62
ಅಂಗವಟ್ಟ, ಸೌಷ್ಠವ, ಆದಿ ಪರ್ವ,13,50
ಅಂಗವಟ್ಟ, ಶರೀರ., ಕರ್ಣ ಪರ್ವ,6,16
ಅಂಗವಟ್ಟ, ಮೈಯ ಸೌಂದರ್ಯ, ಉದ್ಯೋಗ ಪರ್ವ,9,68
ಅಂಗವಟ್ಟ, ಹೊದೆಯುವ ವಸ್ತ್ರ, ಅರಣ್ಯ ಪರ್ವ,11,20
ಅಂಗವಟ್ಟ, ದೇಹಸೌಂದರ್ಯ , ವಿರಾಟ ಪರ್ವ,2,6
ಅಂಗವಣೆ, ಉದ್ದೇಶ, ಅರಣ್ಯ ಪರ್ವ,5,25
ಅಂಗವಣೆ, ಧೈರ್ಯ, ವಿರಾಟ ಪರ್ವ,5,29
ಅಂಗವಲ್ಲ, ನನ್ನ ವಿಭಾಗಕ್ಕೆ ಸೇರುವುದಿಲ್ಲ, ದ್ರೋಣ ಪರ್ವ,1,31
ಅಂಗವಿಸಿ, ಸಾಹಸಮಾಡಿ, ಭೀಷ್ಮ ಪರ್ವ,9,20
ಅಂಗವಿಸು, ಸಿದ್ಧವಾಗು , ವಿರಾಟ ಪರ್ವ,8,80
ಅಂಗವಿಸುವವರು, ಎದುರಿಸುವವರು, ದ್ರೋಣ ಪರ್ವ,2,78
ಅಂಗಸ್ವೇದ ಜಲ, ಬೆವರು, ಅರಣ್ಯ ಪರ್ವ,6,37
ಅಂಗಹಾರ, ಅಭಿನಯದ ಮುದ್ರೆ, ಆದಿ ಪರ್ವ,13,25
ಅಂಗಾರಕಾರಕ, ಇದ್ದಿಲು ಮಾರುವವ, ಉದ್ಯೋಗ ಪರ್ವ,3,29
ಅಂಗುಲಿ, ಬೆರಳು, ಗದಾ ಪರ್ವ,11,17
ಅಂಗೈಸಲು, ಯುದ್ಧ ಮಾಡಲು, ದ್ರೋಣ ಪರ್ವ,8,24
ಅಂಗೈಸಿದನೆ, ಕೈಹಾಕಿದನೆ, ಭೀಷ್ಮ ಪರ್ವ,6,29
ಅಂಗೈಸಿದರು, ಸಮ್ಮತಿಸಿದರು, ಭೀಷ್ಮ ಪರ್ವ,8,30
ಅಂಗೈಸು, ನಿರ್ವಹಿಸು, ಸಭಾ ಪರ್ವ,2,15
ಅಂಗೈಸು, ಮುತ್ತಿಗೆಹಾಕು  ರಭಸ , ವಿರಾಟ ಪರ್ವ,9,5
ಅಂಗೈಸು, ಯತ್ನಿಸು, ಸಭಾ ಪರ್ವ,12,14
ಅಂಗೈಸು, ಒಪ್ಪು , ಅರಣ್ಯ ಪರ್ವ,11,17
ಅಂಗೋಪಾಂಗ, ದೇಹ ಮತ್ತು ಅವಯವಗಳು, ಆದಿ ಪರ್ವ,11,30
ಅಂಘವಣೆ, ಇಂಗಿತ, ಆದಿ ಪರ್ವ,15,10
ಅಂಘವಣೆ, ಉದ್ದೇಶ, ಸಭಾ ಪರ್ವ,2,72
ಅಂಘವಣೆ, ಕೆಲಸ , ಗದಾ ಪರ್ವ,9,14
ಅಂಘೈಸು, ಅಂಗೈಸು, ಗದಾ ಪರ್ವ,4,57
ಅಂಘೈಸು, ಆಸೆ ಪಡು, ಆದಿ ಪರ್ವ,15,49
ಅಂಘೈಸು, ಕಾರ್ಯಪ್ರವೃತ್ತನಾಗು, ಗದಾ ಪರ್ವ,9,25
ಅಂಘೈಸÀು, ಮೇಲೆಬೀಳು, ಕರ್ಣ ಪರ್ವ,13,40
ಅಂಘ್ರಿ, ಪಾದ, ಗದಾ ಪರ್ವ,11,41
ಅಂಘ್ರಿದ್ವಯಕೆ, ಎರಡೂ ಕಾಲುಗಳಗೆ, ಸಭಾ ಪರ್ವ,1,5
ಅಂಜನ, ಕಾಡಿಗೆ, ಆದಿ ಪರ್ವ,13,20
ಅಂಜಲಿ, ಬೊಗಸೆ, ದ್ರೋಣ ಪರ್ವ,14,44
ಅಂಜಲಿ, ಸಮೇಳ, ಗದಾ ಪರ್ವ,11,13
ಅಂಜುಳಿ, ಬೊಗಸೆ, ಆದಿ ಪರ್ವ,16,30
ಅಂಡಜ, ಮೊಟ್ಟೆಯಿಂದ ಹುಟ್ಟಿರುವ ಜೀವರಾಶಿ, ಸಭಾ ಪರ್ವ,9,13
ಅಂಡಲೆ, ಪೀಡಿಸು ಕಾಡು, ವಿರಾಟ ಪರ್ವ,6,62
ಅಂಡಲೆ, ಪೀಡಿಸು, ಸಭಾ ಪರ್ವ,1,16
ಅಂಡಲೆಸು, ಕಾಡಿಪೀಡಿಸು, ಸಭಾ ಪರ್ವ,3,4
ಅಂಡುಗೊಂಡುದು, ಓಡಿ ಹೋಗು, ದ್ರೋಣ ಪರ್ವ,18,23
ಅಂತ, ತನ್ನನ್ನು ಆಕ್ರಮಿಸಿದ, ಸಭಾ ಪರ್ವ,1,68
ಅಂತಃಕರಣ, ಮನಸ್ಸು (ಜ್ಞಾನ, ಭೀಷ್ಮ ಪರ್ವ,3,32
ಅಂತಃಕರಣ, ಮನಸ್ಸು, ಗದಾ ಪರ್ವ,11,66
ಅಂತಃಶ್ರಮ, ಮಾನಸಿಕವಾದ ಆಯಾಸ, ಗದಾ ಪರ್ವ,7,14
ಅಂತಃಸ್ತಾಪÀಶಿಖಿ, ಒಳಗೇ ಸುಡುತ್ತಿರುವ ದುಃಖ, ಗದಾ ಪರ್ವ,12,1
ಅಂತಕನ ನೆರೆಯೂರವರು, ಈಗಲೋ ಆಗಲೋ ಸಾಯುವಷ್ಟು ವಯಸ್ಸಾದವರು, ವಿರಾಟ ಪರ್ವ,5,20
ಅಂತಕಪುರ, ಯಮನ ಊರು., ವಿರಾಟ ಪರ್ವ,2,21
ಅಂತಕಸೂನು, ಯಮನಮಗ, ಗದಾ ಪರ್ವ,12,19
ಅಂತಕಾಲಯ, ಯಮನಲೋಕ, ಸಭಾ ಪರ್ವ,16,24
ಅಂತರ, ಸಮಯ, ಆದಿ ಪರ್ವ,11,22, , , A4A2D8B6E5B6, , , , , , , , , , 
ಅಂತರಂಗ, ಮನಸ್ಸು , ಗದಾ ಪರ್ವ,8,29
ಅಂತರಂಗರು, ಮನಸ್ಸು ಉಳ್ಳವರಾದರು, ವಿರಾಟ ಪರ್ವ,8,82
ಅಂತರಲಗಡಿ, ಒಳಮುಖದ ಹೊಡೆತ, ಕರ್ಣ ಪರ್ವ,19,43
ಅಂತರಿಸು, ಮರೆಯಾಗು, ಸಭಾ ಪರ್ವ,1,80
ಅಂತರಿಸು, ದೂರವಾಗು, ವಿರಾಟ ಪರ್ವ,1,18
ಅಂತರ್ದಾಯಿ, ಒಳಗೊಳಗೇ ಬೆಂಕಿ ಹಚ್ಚುವ, ಆದಿ ಪರ್ವ,8,43
ಅಂತರ್ದಾಹಕ, ಒಳಗೆ ಸುಡುವವನು, ಸಭಾ ಪರ್ವ,1,60
ಅಂತರ್ಬದ್ಧ, ಅಂತಃಕಲಹ, ಸಭಾ ಪರ್ವ,1,67
ಅಂತರ್ಭಾವ, ಮನಸ್ಸಿನ ಆಶಯ, ಶಲ್ಯ ಪರ್ವ,1,17
ಅಂತರ್ಭಾವ, ಒಳಮನಸ್ಸು, ಆದಿ ಪರ್ವ,8,33
ಅಂತರ್ಮನ, ಒಳಮನಸ್ಸು, ಗದಾ ಪರ್ವ,3,37
ಅಂತರ್ಮುಖ, ಒಳಮನಸ್ಸು, ಆದಿ ಪರ್ವ,8,37
ಅಂತರ್ಯಾಮಿ, ಒಳಗಿರುವವನು, ಉದ್ಯೋಗ ಪರ್ವ,9,69
ಅಂತವ್ರ್ಯಥೆ, ಮನಸ್ಸಿನ ದುಃಖ, ಆದಿ ಪರ್ವ,11,17
ಅಂತವ್ರ್ಯಾಕುಳತೆ, ಮನದೊಳಗಿನ ವ್ಯಾಕುಲ, ಗದಾ ಪರ್ವ,8,59
ಅಂತಸ್ತಾಪ, ಒಳಗಿನ ದುಃಖ, ಕರ್ಣ ಪರ್ವ,8,6
ಅಂತಸ್ತಾಪವನು, ಶರೀರದ ತಾಪವನ್ನು, ಭೀಷ್ಮ ಪರ್ವ,10,27
ಅಂತಸ್ಮøತೆ, ವಿಶ್ವಾಸ, ಉದ್ಯೋಗ ಪರ್ವ,3,70
ಅಂತ್ಯದಲಿ, ಸಾವಿನಲ್ಲಿ, ಗದಾ ಪರ್ವ,11,24
ಅಂತ್ಯವರ್ಣ, ಶೂದ್ರ, ಆದಿ ಪರ್ವ,16,24
ಅಂದಗೆಡಿಸದೆ, ವಿರೂಪಗೊಳಿಸದೆ, ಆದಿ ಪರ್ವ,8,20
ಅಂದಗೆಡಿಸು, ವಿರೂಪಗೊಳಿಸು, ಆದಿ ಪರ್ವ,8,54
ಅಂದವಳಿಯದೆ, ಲಕ್ಷಣವು ಹಾಳಾಗದೆ., ಗದಾ ಪರ್ವ,4,7
ಅಂಧತಿಮಿರ, ಕುರುಡುಗತ್ತಲೆ, ಗದಾ ಪರ್ವ,10,13
ಅಂಧನೃಪ, ಕುರುಡರಾಜ, ದ್ರೋಣ ಪರ್ವ,1,8
ಅಂಬನು, ಬಾಣವನ್ನು, ದ್ರೋಣ ಪರ್ವ,3,21
ಅಂಬರ, ರೇಷ್ಮೆಯ ಬಟ್ಟೆ, ಗದಾ ಪರ್ವ,4,53
ಅಂಬರಸರಸಿ, ಗಗನ ಸರೋವರ, ಭೀಷ್ಮ ಪರ್ವ,5,22
ಅಂಬಿನಲಿ, ಬಾಣಗಳಿಂದ, ಸಭಾ ಪರ್ವ,1,63
ಅಂಬಿನಹೊರಳಿ, ಬಾಣ ಸಮೂಹ, ಭೀಷ್ಮ ಪರ್ವ,10,4
ಅಂಬು, ಬಾಣ., ಭೀಷ್ಮ ಪರ್ವ,3,8
ಅಂಬುಜ ಪಾಣಿ, ಕಮಲವನ್ನು ಕೈಯಲ್ಲಿ ಹಿಡಿದಿರುವವನು, ದ್ರೋಣ ಪರ್ವ,4,6
ಅಂಬುಜಭವ, ಕಮಲದಲ್ಲಿ ಹುಟ್ಟಿದವನು, ಆದಿ ಪರ್ವ,15,27
ಅಂಬುಜಾಂಬಕಯುಗಳ, ಕಮಲದಂತಹ ಎರಡು ಕಣ್ಣುಗಳುಳ್ಳ ್ಣ, ಭೀಷ್ಮ ಪರ್ವ,6,28
ಅಂಭೋಜ ಮುಖಿ, ತಾವರೆಯ ಮುಖದ (ದ್ರೌಪದಿ), ವಿರಾಟ ಪರ್ವ,3,98
ಅಂಭೋದಿ, ಸಮುದ್ರ., ಉದ್ಯೋಗ ಪರ್ವ,8,5
ಅಂಭೋರುಹಾಕ್ಷಿ, ತಾವರೆಯಂತೆ ಕಣ್ಣುಳ್ಳವಳು , ಗದಾ ಪರ್ವ,11,4
ಅಕಟ, ಅಯ್ಯೋ, ಸಭಾ ಪರ್ವ,3,7
ಅಕಾಲ, ಕಾಲವಲ್ಲದ ಕಾಲ, ಆದಿ ಪರ್ವ,8,43
ಅಕುಟಿಲ, ಪ್ರಾಮಾಣಿಕ, ಆದಿ ಪರ್ವ,10,0
ಅಕುಟಿಲರು, ಮೋಸ ಅರಿಯದವರು, ಸಭಾ ಪರ್ವ,14,92
ಅಕೃತ್ಯಶತ, ನೂರುಕೇಡು, ಉದ್ಯೋಗ ಪರ್ವ,3,122
ಅಕ್ಕಜ, ಬೆರಗು, ಆದಿ ಪರ್ವ,13,58
ಅಕ್ಕಜ, ಮಾತ್ಸರ್ಯ, ಕರ್ಣ ಪರ್ವ,19,50
ಅಕ್ಕಜ, ಆಶ್ಚರ್ಯ(ಸಂ) ಕಿಚ್ಚು, ಗದಾ ಪರ್ವ,8,50
ಅಕ್ಕಡ, ಅಖಾಡ, ಕರ್ಣ ಪರ್ವ,19,41
